emission_optical_throughput,replicate,method,mean_nrmse,condition_number
0.5,2,FE calibrated NNLS,0.09672020792684247,5.5966123301959865
0.5,2,Emission-filtered NNLS,0.4573190161378806,10.403882032022068
0.5,3,FE calibrated NNLS,0.09932280095171411,5.5966123301959865
0.5,3,Emission-filtered NNLS,0.4710302559041938,10.403882032022068
0.5,4,FE calibrated NNLS,0.09591060311872973,5.5966123301959865
0.5,4,Emission-filtered NNLS,0.46718771957626287,10.403882032022068
0.5,5,FE calibrated NNLS,0.0992967562632088,5.5966123301959865
0.5,5,Emission-filtered NNLS,0.46281886646549664,10.403882032022068
0.7,0,FE calibrated NNLS,0.09918564012541758,5.5966123301959865
0.7,0,Emission-filtered NNLS,0.3904743181364106,10.403882032022068
0.7,1,FE calibrated NNLS,0.09979071500856537,5.5966123301959865
0.7,1,Emission-filtered NNLS,0.39377767463677316,10.403882032022068
0.7,2,FE calibrated NNLS,0.09659817914603813,5.5966123301959865
0.7,2,Emission-filtered NNLS,0.39098121687245957,10.403882032022068
0.7,3,FE calibrated NNLS,0.0990888191211854,5.5966123301959865
0.7,3,Emission-filtered NNLS,0.39335619998140325,10.403882032022068
0.7,4,FE calibrated NNLS,0.09740150500872859,5.5966123301959865
0.7,4,Emission-filtered NNLS,0.39655654681185726,10.403882032022068
0.7,5,FE calibrated NNLS,0.09815344918655097,5.5966123301959865
0.7,5,Emission-filtered NNLS,0.38788784597802717,10.403882032022068
0.9,0,FE calibrated NNLS,0.09662409695808397,5.5966123301959865
0.9,0,Emission-filtered NNLS,0.33964451470469714,10.403882032022068
0.9,1,FE calibrated NNLS,0.09907095973682098,5.5966123301959865
0.9,1,Emission-filtered NNLS,0.34448241915954386,10.403882032022068
0.9,2,FE calibrated NNLS,0.0991032253582984,5.5966123301959865
0.9,2,Emission-filtered NNLS,0.34461068320880617,10.403882032022068
0.9,3,FE calibrated NNLS,0.10043002371713945,5.5966123301959865
0.9,3,Emission-filtered NNLS,0.3422594260709836,10.403882032022068
0.9,4,FE calibrated NNLS,0.09912218272651696,5.5966123301959865
0.9,4,Emission-filtered NNLS,0.34415707622038,10.403882032022068
0.9,5,FE calibrated NNLS,0.09765008117287029,5.5966123301959865
0.9,5,Emission-filtered NNLS,0.33980560699017187,10.403882032022068
1.0,0,FE calibrated NNLS,0.09818138648700442,5.5966123301959865
1.0,0,Emission-filtered NNLS,0.31549784928199265,10.403882032022068
1.0,1,FE calibrated NNLS,0.10059468429373708,5.5966123301959865
1.0,1,Emission-filtered NNLS,0.3303597689781277,10.403882032022068
1.0,2,FE calibrated NNLS,0.09969811308866239,5.5966123301959865
1.0,2,Emission-filtered NNLS,0.32309380634347656,10.403882032022068
1.0,3,FE calibrated NNLS,0.09845945584190596,5.5966123301959865
1.0,3,Emission-filtered NNLS,0.31690657210482387,10.403882032022068
1.0,4,FE calibrated NNLS,0.09776352326313995,5.5966123301959865
1.0,4,Emission-filtered NNLS,0.3195805537344978,10.403882032022068
1.0,5,FE calibrated NNLS,0.09946042159158772,5.5966123301959865
1.0,5,Emission-filtered NNLS,0.3222561026601378,10.403882032022068
